Cargo,id,depende_de,depende_de_descripcion,Categoria,Apellido,Nombre,genero,Telefono
DIRECCION DE AUTOMOTORES (DIR AUTOMOTO),1,41,DIR. GRAL. COORDINACION ADMINISTRATIVA (D GRALCOOD ADM),DIRECTOR,RODRIGUEZ,ADOLFO SALVADOR,M,
DIRECCION RELACIONES OFICIALES (DIR REL OFI),2,41,DIR. GRAL. COORDINACION ADMINISTRATIVA (D GRALCOOD ADM),DIRECTORA,GARCIA,SABRINA SOLEDAD,F,
DIRECCION ADMINISTRATIVA (DIR ADM),3,54,DIR. GRAL. ADMINISTRATIVA (DIR GRAL ADM),DIRECTOR,DELUCA,NICOLAS EZEQUIEL,M,
DIRECCION DE COORDINACION (DIR COOD),4,54,DIR. GRAL. ADMINISTRATIVA (DIR GRAL ADM),DIRECTOR,PANTANO,FABIAN HECTOR,M,
DIRECCION DE PLANEAMIENTO DE GESTION,5,54,DIR. GRAL. ADMINISTRATIVA (DIR GRAL ADM),DIRECTORA,RIZZOLO,JULIETA,F,
DIRECCION DE TESORERIA (D GRAL ADM CONT),6,42,DIR. GRAL. ADMINSTRATIVO CONTABLE (D GRAL ADM CONT),DIRECTOR,GOLDBERG,MARCELO DANIEL,M,
DIRECCION COMPRAS (D GRAL ADM CONT),7,42,DIR. GRAL. ADMINSTRATIVO CONTABLE (D GRAL ADM CONT),DIRECTOR,KIRSCHNER,GERMAN,M,
DIRECCION DE ADMINISTRACION (D GRAL ADM CONT),8,42,DIR. GRAL. ADMINSTRATIVO CONTABLE (D GRAL ADM CONT),DIRECTORA,CARUSO,MARIA CELESTE,F,
DIRECCION DE CONTABILIDAD Y PERSUPUESTO (D GRAL ADM CONT),9,42,DIR. GRAL. ADMINSTRATIVO CONTABLE (D GRAL ADM CONT),DIRECTORA,MARTINEZ,SILVIA ANA,F,
DIRECCION DE ASUNTOS JURIDICOS (DGCTYL),10,55,DIR. GRAL. DE COORDINACION TECNICO Y LEGAL (DGCTYL),DIRECTOR,,,,
DIRECCION DE MESA DE ENTRADA Y DESPACHO (DGCTYL),11,55,DIR. GRAL. DE COORDINACION TECNICO Y LEGAL (DGCTYL),DIRECTOR,,,,
DIRECCION DE SECRETARIA PRIVADA (DIR SEC PRIV),12,28,DIR. GRAL. DE COORDINACION DE LA PRESIDENCIA (DGCP),DIRECTOR,CARRO REY,MARIO,M,
DIRECCION DE INFORMATICA (DGIS),13,43,DIR. GRAL. DE INFORMATICA Y SISTEMAS (DGIS),DIRECTOR,MOKRZYCKI,RICARDO GABRIEL,M,
DIRECCION DE SISTEMAS (DGIS),14,43,DIR. GRAL. DE INFORMATICA Y SISTEMAS (DGIS),,,,,
DIRECCION DE PRENSA Y COMUNICACIONES (DGP Y C),15,71,DIR. GRAL. DE PRENSA Y CONUNICACIONES (DGP Y C),DIRECTORA,BOLLINI,CORINA ROXANA,F,
DIRECCION DIPUTADOS TV (DGP Y C),16,71,DIR. GRAL. DE PRENSA Y CONUNICACIONES (DGP Y C),DIRECTORA,CALLEJA,SILVINA,F,
DIRECCION DE RELACIONES LABORALES (DGRH),17,44,DIR. GRAL. DE RECURSOS HUMANOS (DGRH),DIRECTORA,ZALDIVAR,LORENA KARINA,F,
